Country,siteName,contactEmail,sciName,totalCount,family,active.ambush,feedingTypeFishbase,feedingImpute,trophicGroupRLS,trophicImpute,waterColumnRLS,waterColumnImpute,eat.squid,eat.squidImpute,BodyShapeI,BodyShapeII,Forehead,TypeofMouth,PosofMouth,CShape,Attributes,TL,HL,BD,SnoutTipX,SnoutTipY,AspectRatio,EncIndex,DietTroph,DietSeTroph,FoodTroph,FoodSeTroph,SoftBottom,Sand,Mud,HardBottom,SeaGrassBeds,CoralReefs,Estuaries,Mangroves,Intertidal,Saltmarshes,Herbivory2,Climate,FoodI,FoodII
Norway,NA,NA,Pleuronectiformes,1,Pleuronectidae,ambush,NA,variable,NA,scraping herbivore,NA,benthic,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wales,NA,NA,Pleuronectinae,1,Pleuronectidae,ambush,NA,variable,NA,scraping herbivore,NA,benthic,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada (BC),Choked Sandspit,zach.monteith@hakai.org,Psettichthys melanostictus,18,Pleuronectidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,Benthic,benthic,0,0,short and / or deep,NA,NA,NA,NA,more or less truncate,more or less normal,588,118,251,34,157,1.51368,NaN,NaN,NaN,4.06,0.67,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),boreal;polar;subtropical;temperate,nekton;zoobenthos,benth. crust.;finfish;mollusks;worms
USA (MA),Dorothy Cove,rhughes@northeastern.edu,Pseudopleuronectes americanus,5,Pleuronectidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,benthic,benthic,0,0,short and / or deep,NA,NA,NA,NA,NA,NA,563,76,215,41,196,1.3203,NaN,3.62,0.077,3.08,0.54,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),temperate,plants;zoobenthos;zooplankton,benth. crust.;cnidarians;echinoderms;mollusks;other benth. invertebrates;other plank. invertebrates;other plants;phytoplankton;plank. crust.;sponges/tunicates;worms
Mexico (ICML),NA,NA,Abudefduf saxatilis,1,Pomacentridae,active,variable,variable,omnivore,omnivore,NA,benthic,1,1,short and / or deep,NA,NA,NA,NA,NA,NA,555,117,233,54,234,1.53883,NaN,3.82,0.17,2.76,0.32,0,0,0,0,0,-1,0,0,-1,0,plants/detritus+animals (troph. 2.2-2.79),tropical,plants;zooplankton,other plank. invertebrates;other plants
Italy,NA,NA,Chromis chromis,3,Pomacentridae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,compressed,more or less straight,more or less normal,terminal,forked,more or less normal,468,102,134,NaN,NaN,1.13384,142,3.77,0.405,3.38,0.41,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),subtropical,nekton;zoobenthos;zooplankton,benth. crust.;finfish;other benth. invertebrates;other plank. invertebrates;sponges/tunicates;worms
USA (NC),NC,sziegler@live.unc.edu,Arenaeus cribrarius,3,Portunidae,active,variable,variable,omnivore,omnivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,3.69,0.44,1,1,0,0,0,0,0,0,0,NA,mainly animals (troph. 2.8 and up),tropical,detritus;nekton;zoobenthos,detritus;finfish;mollusks;other benth. invertebrates
Mexico (BN),Punta Banda Estuary,pablojorgensen@hotmail.com,Callinectes arcuatus,17,Portunidae,active,Hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,3.6,0.43,0,0,0,0,0,0,1,0,0,NA,,subtropical,nekton;plants;zoobenthos,benth. crust.;finfish;mollusks;other benth. invertebrates;other plants;worms
Mexico (BN),Punta Banda Estuary,pablojorgensen@hotmail.com,Callinectes arcuatus,17,Portunidae,active,Hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,3.6,0.43,0,0,0,0,0,0,1,0,0,NA,,subtropical,nekton;plants;zoobenthos,benth. crust.;finfish;mollusks;other benth. invertebrates;other plants;worms
Brazil,Praia do Barreiro,guca@usp.br,Callinectes danae,1,Portunidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;Higher carnivore,benthic invertivore;higher carnivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,3.63,0.43,1,0,1,0,0,0,1,1,0,NA,mainly animals (troph. 2.8 and up),tropical,detritus;nekton;zoobenthos,detritus;finfish;mollusks;other benth. invertebrates
Brazil,Praia do Barreiro,guca@usp.br,Callinectes ornatus,5,Portunidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;Higher carnivore,benthic invertivore;higher carnivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93,0.39,3.61,0.42,1,1,1,1,0,0,1,0,1,NA,plants/detritus+animals (troph. 2.2-2.79),tropical,detritus;nekton;plants;zoobenthos,benth. crust.;cnidarians;detritus;echinoderms;finfish;mollusks;other benth. invertebrates;other plants;worms
Brazil,Praia do Barreiro,guca@usp.br,Callinectes ornatus,5,Portunidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;Higher carnivore,benthic invertivore;higher carnivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93,0.39,3.61,0.42,1,1,1,1,0,0,1,0,1,NA,plants/detritus+animals (troph. 2.2-2.79),tropical,detritus;nekton;plants;zoobenthos,benth. crust.;cnidarians;detritus;echinoderms;finfish;mollusks;other benth. invertebrates;other plants;worms
Brazil,Praia do Engenho,guca@usp.br,Callinectes ornatus,14,Portunidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;Higher carnivore,benthic invertivore;higher carnivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93,0.39,3.61,0.42,1,1,1,1,0,0,1,0,1,NA,plants/detritus+animals (troph. 2.2-2.79),tropical,detritus;nekton;plants;zoobenthos,benth. crust.;cnidarians;detritus;echinoderms;finfish;mollusks;other benth. invertebrates;other plants;worms
Brazil,Praia do Engenho,guca@usp.br,Callinectes ornatus,14,Portunidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;Higher carnivore,benthic invertivore;higher carnivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93,0.39,3.61,0.42,1,1,1,1,0,0,1,0,1,NA,plants/detritus+animals (troph. 2.2-2.79),tropical,detritus;nekton;plants;zoobenthos,benth. crust.;cnidarians;detritus;echinoderms;finfish;mollusks;other benth. invertebrates;other plants;worms
USA (DE),"UD Lewes, DE",lanej@udel.edu,Callinectes sapidus,3,Portunidae,active,variable,variable,omnivore,omnivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.64,3.35,0.3,1,1,1,0,0,0,1,0,0,NA,plants/detritus+animals (troph. 2.2-2.79),subtropical;tropical,detritus;nekton;zoobenthos;zooplankton,benth. crust.;detritus;finfish;jellyfish/hydroids;mollusks;worms
USA (NC),NC,sziegler@live.unc.edu,Callinectes sapidus,25,Portunidae,active,variable,variable,omnivore,omnivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.64,3.35,0.3,1,1,1,0,0,0,1,0,0,NA,plants/detritus+animals (troph. 2.2-2.79),subtropical;tropical,detritus;nekton;zoobenthos;zooplankton,benth. crust.;detritus;finfish;jellyfish/hydroids;mollusks;worms
USA (TX),Aransas Pass,mdiskin@islander.tamucc.edu,Callinectes sapidus,12,Portunidae,active,variable,variable,omnivore,omnivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.64,3.35,0.3,1,1,1,0,0,0,1,0,0,NA,plants/detritus+animals (troph. 2.2-2.79),subtropical;tropical,detritus;nekton;zoobenthos;zooplankton,benth. crust.;detritus;finfish;jellyfish/hydroids;mollusks;worms
USA (TX),Aransas Pass,mdiskin@islander.tamucc.edu,Callinectes sapidus,12,Portunidae,active,variable,variable,omnivore,omnivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.64,3.35,0.3,1,1,1,0,0,0,1,0,0,NA,plants/detritus+animals (troph. 2.2-2.79),subtropical;tropical,detritus;nekton;zoobenthos;zooplankton,benth. crust.;detritus;finfish;jellyfish/hydroids;mollusks;worms
USA (TX),Aransas Pass,mdiskin@islander.tamucc.edu,Callinectes sapidus,12,Portunidae,active,variable,variable,omnivore,omnivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.64,3.35,0.3,1,1,1,0,0,0,1,0,0,NA,plants/detritus+animals (troph. 2.2-2.79),subtropical;tropical,detritus;nekton;zoobenthos;zooplankton,benth. crust.;detritus;finfish;jellyfish/hydroids;mollusks;worms
USA (VA),Goodwin Island,jslefche@vims.edu,Callinectes sapidus,2,Portunidae,active,variable,variable,omnivore,omnivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.64,3.35,0.3,1,1,1,0,0,0,1,0,0,NA,plants/detritus+animals (troph. 2.2-2.79),subtropical;tropical,detritus;nekton;zoobenthos;zooplankton,benth. crust.;detritus;finfish;jellyfish/hydroids;mollusks;worms
USA (VA2),NA,pg@vims.edu,Callinectes sapidus,46,Portunidae,active,variable,variable,omnivore,omnivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.64,3.35,0.3,1,1,1,0,0,0,1,0,0,NA,plants/detritus+animals (troph. 2.2-2.79),subtropical;tropical,detritus;nekton;zoobenthos;zooplankton,benth. crust.;detritus;finfish;jellyfish/hydroids;mollusks;worms
USA (CA),San Diego,khovel@mail.sdsu.edu,Portunus xantusii,39,Portunidae,active,NA,browsing on substrate,NA,scraping herbivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,1,1,0,0,0,0,0,0,1,NA,,subtropical,,
Australia (QLD2),Noosa river,chender1@usc.edu.au,Scylla serrata,2,Portunidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17,0.37,3.5,0.57,1,0,1,0,0,0,1,1,1,NA,mainly animals (troph. 2.8 and up),tropical,detritus;nekton;others;zoobenthos,benth. crust.;detritus;echinoderms;finfish;mollusks;others;sponges/tunicates;worms
Croatia,CR-B-SvetiDuh,claudia@claudiakruschel.com,Processa canaliculata,12,Processidae,active,variable,variable,omnivore,omnivore,benthic,benthic,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (NSW2),Urunga Lagoon 1,brendan.kelaher@scu.edu.au,Pseudomugil signifer,2,Pseudomugilidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore,benthic invertivore,Benthopelagic,benthopelagic,0,0,NA,NA,NA,NA,NA,NA,NA,453,84,100,124,195,1.74125,NaN,NaN,NaN,2.86,0.38,-1,0,0,0,-1,0,-1,-1,0,0,mainly animals (troph. 2.8 and up),subtropical,detritus;others;plants;zoobenthos;zooplankton,detritus;insects;other terrest. invertebrates;others;phytoplankton;plank. crust.
USA (CA),San Diego,khovel@mail.sdsu.edu,Rhinobatos productus,1,Rhinobatidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic invertivore;higher carnivore,benthic,benthic,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (VIC),Edwards Point,hjanes@deakin.edu.au,Rhombosolea tapirina,3,Rhombosoleidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,benthic,benthic,0,0,short and / or deep,compressed,NA,NA,NA,more or less truncate,NA,556,133,228,33,213,1.4541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,subtropical,,
Australia (VIC),Edwards Point,hjanes@deakin.edu.au,Rhombosolea tapirina,3,Rhombosoleidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,benthic,benthic,0,0,short and / or deep,compressed,NA,NA,NA,more or less truncate,NA,556,133,228,33,213,1.4541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,subtropical,,
Australia (VIC),St. Leonards,hjanes@deakin.edu.au,Rhombosolea tapirina,1,Rhombosoleidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,benthic,benthic,0,0,short and / or deep,compressed,NA,NA,NA,more or less truncate,NA,556,133,228,33,213,1.4541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,subtropical,,
Australia (VIC),St. Leonards,hjanes@deakin.edu.au,Rhombosolea tapirina,1,Rhombosoleidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,benthic,benthic,0,0,short and / or deep,compressed,NA,NA,NA,more or less truncate,NA,556,133,228,33,213,1.4541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,subtropical,,
USA (OR),OIMB-Valino-SSNERR,agalow3@uoregon.edu,Oncorhynchus tshawytscha,2,Salmonidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,compressed,more or less straight,more or less normal,terminal,forked,more or less normal,578,127,124,NaN,NaN,1.63658,NaN,4.4,0.66,3.83,0.67,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),temperate,nekton;others;zoobenthos;zooplankton,benth. crust.;cephalopods;finfish;insects;mollusks;other plank. invertebrates;other terrest. invertebrates;plank. crust.
Norway,NA,NA,Salmo trutta trutta,1,Salmonidae,active,NA,variable,NA,scraping herbivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA (NC),NC,sziegler@live.unc.edu,Bairdiella chrysoura,1,Sciaenidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore,benthic invertivore,demersal,demersal,1,1,fusiform / normal,NA,NA,NA,NA,more or less truncate,more or less normal,570,141,149,43,157,1.56165,NaN,3.2,NaN,3.24,0.46,0,0,0,0,-1,0,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,detritus;nekton;plants;zoobenthos;zooplankton,benth. crust.;detritus;finfish;other benth. invertebrates;other plank. invertebrates;phytoplankton
USA (TX),Aransas Pass,mdiskin@islander.tamucc.edu,Bairdiella chrysoura,20,Sciaenidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore,benthic invertivore,demersal,demersal,1,1,fusiform / normal,NA,NA,NA,NA,more or less truncate,more or less normal,570,141,149,43,157,1.56165,NaN,3.2,NaN,3.24,0.46,0,0,0,0,-1,0,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,detritus;nekton;plants;zoobenthos;zooplankton,benth. crust.;detritus;finfish;other benth. invertebrates;other plank. invertebrates;phytoplankton
USA (TX),Aransas Pass,mdiskin@islander.tamucc.edu,Bairdiella chrysoura,20,Sciaenidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore,benthic invertivore,demersal,demersal,1,1,fusiform / normal,NA,NA,NA,NA,more or less truncate,more or less normal,570,141,149,43,157,1.56165,NaN,3.2,NaN,3.24,0.46,0,0,0,0,-1,0,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,detritus;nekton;plants;zoobenthos;zooplankton,benth. crust.;detritus;finfish;other benth. invertebrates;other plank. invertebrates;phytoplankton
USA (VA),Goodwin Island,jslefche@vims.edu,Bairdiella chrysoura,3,Sciaenidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore,benthic invertivore,demersal,demersal,1,1,fusiform / normal,NA,NA,NA,NA,more or less truncate,more or less normal,570,141,149,43,157,1.56165,NaN,3.2,NaN,3.24,0.46,0,0,0,0,-1,0,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,detritus;nekton;plants;zoobenthos;zooplankton,benth. crust.;detritus;finfish;other benth. invertebrates;other plank. invertebrates;phytoplankton
USA (TX),Oso Bay,mdiskin@islander.tamucc.edu,Cynoscion arenarius,1,Sciaenidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,more or less truncate,more or less normal,564,129,117,NaN,NaN,1.1701,NaN,4.17,0.334,NaN,NaN,-1,-1,0,0,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),tropical,,
USA (TX),Aransas Pass,mdiskin@islander.tamucc.edu,Cynoscion nebulosus,13,Sciaenidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,more or less truncate,more or less normal,595,149.5,122.5,15,137,1.48035,NaN,NaN,NaN,3.98,0.66,-1,-1,0,0,-1,-1,-1,-1,0,-1,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;finfish
USA (TX),Aransas Pass,mdiskin@islander.tamucc.edu,Cynoscion nebulosus,13,Sciaenidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,more or less truncate,more or less normal,595,149.5,122.5,15,137,1.48035,NaN,NaN,NaN,3.98,0.66,-1,-1,0,0,-1,-1,-1,-1,0,-1,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;finfish
USA (TX),Aransas Pass,mdiskin@islander.tamucc.edu,Cynoscion nebulosus,13,Sciaenidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,more or less truncate,more or less normal,595,149.5,122.5,15,137,1.48035,NaN,NaN,NaN,3.98,0.66,-1,-1,0,0,-1,-1,-1,-1,0,-1,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;finfish
USA (NC),NC,sziegler@live.unc.edu,Leiostomus xanthurus,3,Sciaenidae,active,hunting macrofauna (predator),hunting macrofauna (predator),higher carnivore,higher carnivore,demersal,demersal,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,553,143,163,NaN,NaN,1.54116,NaN,3.23,0.073,NaN,NaN,-1,0,0,0,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),subtropical;temperate,zoobenthos,mollusks
USA (TX),Oso Bay,mdiskin@islander.tamucc.edu,Leiostomus xanthurus,8,Sciaenidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,553,143,163,NaN,NaN,1.54116,NaN,3.23,0.073,NaN,NaN,-1,0,0,0,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),subtropical;temperate,zoobenthos,mollusks
USA (VA2),NA,pg@vims.edu,Leiostomus xanthurus,12,Sciaenidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,demersal,demersal,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,553,143,163,NaN,NaN,1.54116,NaN,3.23,0.073,NaN,NaN,-1,0,0,0,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),subtropical;temperate,zoobenthos,mollusks
USA (TX),Aransas Pass,mdiskin@islander.tamucc.edu,Sciaenops ocellatus,1,Sciaenidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,609,146,147,NaN,NaN,1.48766,NaN,NaN,NaN,3.74,0.57,-1,0,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),subtropical;tropical,nekton;zoobenthos;zooplankton,benth. crust.;finfish;mollusks;other plank. invertebrates
USA (CA),San Diego,khovel@mail.sdsu.edu,Umbrina roncador,5,Sciaenidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,570,132,146,NaN,NaN,1.28762,NaN,NaN,NaN,3.49,0.47,-1,0,0,0,0,0,0,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,nekton;zoobenthos,benth. crust.;finfish;mollusks;worms
Wales,NA,NA,Scyliorhinus canicula,3,Scyliorhinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),benthic invertivore,benthic invertivore,benthic,benthic,1,1,elongated,compressed,NA,more or less normal,sub-terminal/inferior,heterocercal,NA,603,NaN,64,18,53,0.832714,NaN,3.82,0.256,3.67,0.59,-1,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),subtropical,nekton;zoobenthos;zooplankton,benth. crust.;cephalopods;finfish;mollusks;other benth. invertebrates;other plank. Invertebrates;plank. crust.;worms
Canada (BC),Choked Pocket,zach.monteith@hakai.org,Sebastes caurinus,3,Sebastidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,Benthopelagic,benthopelagic,1,1,fusiform / normal,NA,NA,NA,NA,other (see remark),NA,431,129,143,NaN,NaN,1.33888,NaN,4.06,0.49,3.68,0.59,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),temperate,nekton;plants;zoobenthos;zooplankton,benth. crust.;finfish;fish (early stages);mollusks;other benth. invertebrates;other plants;worms
Korea,Koje-Korea,"sormyo@pusan.ac.kr, klee@pusan.ac.kr",Sebastes pachycephalus,1,Sebastidae,ambush,NA,variable,higher carnivore,higher carnivore,pelagic site attached,pelagic site attached,1,1,short and / or deep,compressed,NA,NA,NA,more or less truncate,more or less normal,604,192,213,NaN,NaN,1.08228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,subtropical;temperate,,
Canada (BC),Choked Pocket,zach.monteith@hakai.org,Sebastes spp.,302,Sebastidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,Pelagic site attached,pelagic site attached,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA (CA2),Windy Cove,jkoleary@calpoly.edu,Sebastes spp.,92,Sebastidae,ambush,NA,variable,NA,scraping herbivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Korea,Koje-Korea,"sormyo@pusan.ac.kr, klee@pusan.ac.kr",Sebastiscus marmoratus,4,Sebastidae,ambush,NA,variable,higher carnivore,higher carnivore,pelagic site attached,pelagic site attached,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,604,177,174,NaN,NaN,1.43431,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,0,0,-1,0,0,0,0,,subtropical,,
France,Bouzigues,francesca.rossi@cnrs.fr,Sepia officinalis,1,Sepiidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,NA,pelagic site attached,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Sepia plangon,1,Sepiidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,Demersal,demersal,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Sepia plangon,1,Sepiidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,Demersal,demersal,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (QLD2),Noosa river,chender1@usc.edu.au,Epinephelus coioides,1,Serranidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),higher carnivore,higher carnivore,Benthic,benthic,1,1,fusiform / normal,compressed,more or less straight,more or less normal,superior,more or less truncate,more or less normal,593.25,192,148.75,18,144,1.284177,NaN,4,NaN,3.95,0.67,-1,0,-1,-1,0,-1,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;finfish
Australia (QLD),Bowen,paul.york@jcu.edu.au,Epinephelus sp.,1,Serranidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,Demersal,demersal,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico (ICML),NA,NA,Mycteroperca tigris,1,Serranidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,Demersal,demersal,1,1,fusiform / normal,oval,clearly convex,more or less normal,superior,more or less truncate,more or less normal,590,189,145,NaN,NaN,1.39914,NaN,4.5,0.8,4.5,0.8,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton,finfish
USA (CA),San Diego,khovel@mail.sdsu.edu,Paralabrax clathratus,4,Serranidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),NA,benthic invertivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,508.5,146,125,NaN,NaN,1.917075,NaN,3.93,0.42,3.98,0.66,-1,0,0,0,-1,0,0,0,0,0,mainly animals (troph. 2.8 and up),subtropical;temperate,nekton;zoobenthos,benth. crust.;finfish
